Latitude,Longitude,Time,Fire_Present,Fire_Temperature,Rate_of_Spread,Wind_Direction,Wind_Speed,Humidity,Atmospheric_Temperature,Precipitation
-33.97461,18.42965,2025-09-23T06:00:00Z,0,0,0,99,37.8,32.4,21.4,0.0
-33.94953,18.42914,2025-09-23T06:00:00Z,0,0,0,95,17.4,20.7,18.6,0.0
-33.97749,18.40595,2025-09-23T06:00:00Z,0,0,0,168,11.8,26.9,18.8,0.0
-33.94276,18.4313,2025-09-23T06:00:00Z,0,0,0,179,20.4,33.9,17.8,0.04
-33.97749,18.40663,2025-09-23T06:00:00Z,0,0,0,99,20.8,33.7,20.6,0.0
-33.93848,18.40741,2025-09-23T06:00:00Z,0,0,0,178,18.9,21.3,19.2,0.0
-33.96457,18.43725,2025-09-23T06:00:00Z,0,0,0,97,26.5,17.4,24.9,0.0
-33.94116,18.39875,2025-09-23T06:00:00Z,0,0,0,133,13.3,18.0,23.3,0.0
-33.94344,18.43214,2025-09-23T06:00:00Z,0,0,0,167,15.2,30.9,22.3,0.0
-33.96911,18.42464,2025-09-23T06:00:00Z,0,0,0,114,39.9,31.4,24.5,0.0
-33.96691,18.42812,2025-09-23T06:00:00Z,0,0,0,177,31.7,33.6,20.1,0.0
-33.96239,18.41149,2025-09-23T06:00:00Z,0,0,0,179,30.5,27.9,24.0,0.0
-33.96916,18.40995,2025-09-23T06:00:00Z,0,0,0,94,39.5,29.2,20.7,0.0
-33.95545,18.42317,2025-09-23T06:00:00Z,0,0,0,96,17.2,17.7,22.3,0.0
-33.95403,18.40234,2025-09-23T06:00:00Z,0,0,0,92,38.6,33.1,24.0,0.0
-33.94342,18.43762,2025-09-23T06:00:00Z,0,0,0,178,37.0,31.7,21.1,0.25
-33.96279,18.42543,2025-09-23T06:00:00Z,0,0,0,102,16.3,37.9,19.0,0.0
-33.95915,18.39635,2025-09-23T06:00:00Z,0,0,0,155,35.2,30.0,20.3,0.31
-33.96575,18.39987,2025-09-23T06:00:00Z,0,0,0,137,33.9,35.8,26.2,0.0
-33.93734,18.42951,2025-09-23T06:00:00Z,0,0,0,98,30.5,30.7,19.9,0.0
-33.96221,18.40288,2025-09-23T06:00:00Z,0,0,0,112,38.7,34.6,19.4,0.1
-33.94517,18.40251,2025-09-23T06:00:00Z,0,0,0,114,30.6,15.5,24.9,0.0
-33.96847,18.39585,2025-09-23T06:00:00Z,0,0,0,115,20.8,19.2,17.1,0.0
-33.96882,18.42943,2025-09-23T06:00:00Z,0,0,0,121,24.1,16.8,17.5,0.0
-33.93826,18.42205,2025-09-23T06:00:00Z,0,0,0,150,14.3,19.2,20.4,0.0
-33.96882,18.41851,2025-09-23T06:00:00Z,0,0,0,162,23.1,34.0,25.9,0.0
-33.94084,18.42791,2025-09-23T06:00:00Z,0,0,0,171,37.5,37.9,16.8,0.0
-33.94579,18.4142,2025-09-23T06:00:00Z,0,0,0,137,30.1,32.3,18.4,0.0
-33.94161,18.39342,2025-09-23T06:00:00Z,0,0,0,129,33.2,36.6,27.0,0.0
-33.97461,18.40182,2025-09-23T06:00:00Z,1,747,28.41,131,28.9,26.4,24.9,0.0
-33.94317,18.43061,2025-09-23T06:00:00Z,1,641,20.81,109,37.7,18.3,24.7,0.0
-33.96297,18.43355,2025-09-23T06:00:00Z,1,671,18.81,107,39.9,36.9,20.6,0.0
-33.96795,18.42487,2025-09-23T06:00:00Z,1,725,22.88,110,25.2,22.9,17.7,0.0
-33.97586,18.43479,2025-09-23T06:00:00Z,1,865,8.11,107,22.1,34.3,18.5,0.0
-33.96485,18.39393,2025-09-23T06:00:00Z,1,812,12.13,163,18.9,16.4,26.3,0.0
-33.9502,18.41767,2025-09-23T06:00:00Z,1,793,7.93,178,13.8,21.2,24.8,0.0
-33.95772,18.41931,2025-09-23T06:00:00Z,1,894,24.83,125,13.0,19.3,22.4,0.0
-33.94821,18.41821,2025-09-23T06:00:00Z,1,689,22.12,177,26.0,39.1,27.1,0.0
-33.94339,18.42768,2025-09-23T06:00:00Z,1,818,26.09,161,36.5,33.3,27.9,0.0
-33.95933,18.42561,2025-09-23T06:00:00Z,1,787,9.34,132,21.3,22.1,27.1,0.0
-33.95821,18.40266,2025-09-23T06:00:00Z,1,862,13.95,144,18.5,26.9,25.5,0.0
-33.94679,18.42399,2025-09-23T06:00:00Z,1,656,27.25,160,17.8,26.2,22.5,0.0
-33.96581,18.40833,2025-09-23T06:00:00Z,1,730,16.88,133,36.8,39.1,17.3,0.0
-33.97621,18.39255,2025-09-23T06:00:00Z,1,712,18.41,125,27.4,21.2,24.7,0.0
-33.95859,18.40356,2025-09-23T06:00:00Z,1,709,20.57,106,13.2,18.8,21.4,0.0
-33.95333,18.41389,2025-09-23T06:00:00Z,0,0,0,135,10.3,24.6,22.6,0.0
-33.93837,18.42676,2025-09-23T06:00:00Z,0,0,0,149,13.0,36.8,25.2,0.0
-33.94199,18.42455,2025-09-23T06:00:00Z,0,0,0,94,16.1,20.8,23.3,0.0
-33.9581,18.40404,2025-09-23T06:00:00Z,0,0,0,124,26.1,32.0,20.6,0.0
-33.96453,18.42273,2025-09-23T06:00:00Z,0,0,0,170,36.0,18.0,22.9,0.0
-33.9737,18.4127,2025-09-23T06:00:00Z,0,0,0,143,16.8,19.7,19.3,0.0
-33.95469,18.4183,2025-09-23T06:00:00Z,0,0,0,177,16.7,25.2,21.5,0.0
-33.96894,18.42204,2025-09-23T06:00:00Z,0,0,0,104,31.1,29.6,17.0,0.0
-33.94192,18.42031,2025-09-23T06:00:00Z,0,0,0,99,19.6,16.5,19.5,0.0
-33.96699,18.41339,2025-09-23T06:00:00Z,0,0,0,155,35.3,15.9,18.1,0.0
-33.93892,18.422,2025-09-23T06:00:00Z,0,0,0,116,12.7,26.8,26.5,0.0
-33.97603,18.41197,2025-09-23T06:00:00Z,0,0,0,171,19.5,35.2,24.0,0.0
-33.96222,18.40509,2025-09-23T06:00:00Z,0,0,0,152,40.0,24.5,20.4,0.0
-33.96015,18.40357,2025-09-23T06:00:00Z,0,0,0,171,27.6,35.0,17.4,0.0
-33.97459,18.41864,2025-09-23T06:00:00Z,0,0,0,133,21.5,32.5,27.3,0.0
-33.9544,18.43457,2025-09-23T06:00:00Z,0,0,0,114,38.5,32.5,23.3,0.0
-33.96092,18.41246,2025-09-23T06:00:00Z,0,0,0,119,25.3,16.1,23.4,0.0
-33.97657,18.41086,2025-09-23T06:00:00Z,0,0,0,120,35.1,15.3,20.6,0.0
-33.96188,18.40173,2025-09-23T06:00:00Z,0,0,0,125,13.9,19.8,21.9,0.0
-33.94385,18.4251,2025-09-23T06:00:00Z,0,0,0,141,21.9,21.2,26.1,0.0
-33.97396,18.41768,2025-09-23T06:00:00Z,0,0,0,132,14.9,24.1,23.2,0.0
-33.96356,18.39985,2025-09-23T06:00:00Z,0,0,0,151,21.9,30.8,22.6,0.3
-33.94632,18.42145,2025-09-23T06:00:00Z,0,0,0,162,19.7,33.8,22.0,0.0
-33.9464,18.41086,2025-09-23T06:00:00Z,0,0,0,179,19.0,31.2,23.9,0.0
-33.94633,18.39728,2025-09-23T06:00:00Z,0,0,0,159,11.7,32.5,24.3,0.0
-33.96831,18.42811,2025-09-23T06:00:00Z,0,0,0,99,35.3,35.9,16.4,0.0
-33.94552,18.40549,2025-09-23T06:00:00Z,0,0,0,149,26.4,38.2,23.7,0.0
-33.97526,18.41826,2025-09-23T06:00:00Z,0,0,0,144,18.9,33.1,21.1,0.27
-33.93978,18.41746,2025-09-23T06:00:00Z,0,0,0,176,14.0,27.0,20.7,0.47
-33.94578,18.42566,2025-09-23T06:00:00Z,0,0,0,116,13.9,17.6,17.5,0.0
-33.94238,18.42969,2025-09-23T06:00:00Z,1,821,28.5,168,28.0,36.6,24.1,0.0
-33.9461,18.39881,2025-09-23T06:00:00Z,1,684,11.99,141,15.9,35.3,17.5,0.0
-33.9407,18.3994,2025-09-23T06:00:00Z,1,726,7.33,105,12.7,23.1,27.1,0.0
-33.93807,18.42399,2025-09-23T06:00:00Z,1,736,24.03,90,34.8,23.2,21.7,0.0
-33.96921,18.4124,2025-09-23T06:00:00Z,1,884,5.98,179,35.3,20.4,24.5,0.0
-33.95581,18.40344,2025-09-23T06:00:00Z,0,0,0,172,24.6,32.6,16.1,0.0
-33.96204,18.4182,2025-09-23T06:00:00Z,0,0,0,127,14.1,38.6,20.4,0.13
-33.95009,18.43426,2025-09-23T06:00:00Z,0,0,0,177,28.0,34.1,25.1,0.12
-33.94462,18.39483,2025-09-23T06:00:00Z,0,0,0,117,36.1,36.3,25.5,0.0
-33.93909,18.40816,2025-09-23T06:00:00Z,0,0,0,110,34.2,17.6,18.3,0.15
-33.95836,18.40763,2025-09-23T06:00:00Z,0,0,0,110,12.6,35.4,24.6,0.0
-33.94541,18.39392,2025-09-23T06:00:00Z,0,0,0,158,33.2,21.7,16.3,0.36
-33.94186,18.41445,2025-09-23T06:00:00Z,0,0,0,174,36.9,15.7,22.9,0.0
-33.9469,18.41414,2025-09-23T06:00:00Z,0,0,0,150,13.7,22.6,22.0,0.0
-33.95248,18.41088,2025-09-23T06:00:00Z,0,0,0,99,29.5,39.6,24.4,0.0
-33.9757,18.41556,2025-09-23T06:00:00Z,0,0,0,147,27.6,33.1,27.0,0.14
-33.95637,18.3965,2025-09-23T06:00:00Z,0,0,0,96,19.5,19.3,20.0,0.0
-33.96469,18.41277,2025-09-23T06:00:00Z,0,0,0,155,17.3,21.9,18.2,0.0
-33.95383,18.42046,2025-09-23T06:00:00Z,0,0,0,117,15.5,28.1,25.0,0.0
-33.96143,18.40421,2025-09-23T06:00:00Z,0,0,0,112,33.3,25.8,21.9,0.0
-33.97645,18.42233,2025-09-23T06:00:00Z,0,0,0,165,31.0,18.8,17.1,0.0
-33.97312,18.39259,2025-09-23T06:00:00Z,0,0,0,136,15.3,31.9,21.0,0.0
-33.95414,18.43059,2025-09-23T06:00:00Z,0,0,0,121,38.9,24.6,17.8,0.0
-33.94073,18.40354,2025-09-23T06:00:00Z,0,0,0,112,13.7,20.0,23.1,0.0
-33.97245,18.4194,2025-09-23T06:00:00Z,0,0,0,151,23.9,34.1,22.7,0.0
-33.97452,18.39525,2025-09-23T06:00:00Z,0,0,0,134,25.4,32.4,19.9,0.0
-33.96153,18.42604,2025-09-23T06:00:00Z,0,0,0,166,19.1,32.4,26.5,0.0
-33.97512,18.43207,2025-09-23T06:00:00Z,0,0,0,111,10.1,39.0,21.5,0.43
-33.94338,18.41391,2025-09-23T06:00:00Z,1,664,22.03,97,28.0,16.7,20.5,0.0
-33.95735,18.41803,2025-09-23T06:00:00Z,1,794,28.55,99,28.2,38.4,20.4,0.0
-33.96588,18.41152,2025-09-23T06:00:00Z,1,811,29.95,94,39.9,28.4,16.9,0.0
-33.95106,18.43259,2025-09-23T06:00:00Z,0,0,0,152,14.2,30.3,22.6,0.0
-33.93769,18.40702,2025-09-23T06:00:00Z,0,0,0,114,15.1,32.3,20.2,0.0
-33.94744,18.40314,2025-09-23T06:00:00Z,0,0,0,129,17.2,18.4,23.3,0.0
-33.95293,18.39256,2025-09-23T06:00:00Z,0,0,0,132,28.1,35.3,22.5,0.1
-33.93782,18.39912,2025-09-23T06:00:00Z,0,0,0,173,31.0,24.4,21.3,0.0
-33.93997,18.40714,2025-09-23T06:00:00Z,0,0,0,109,34.4,36.6,27.0,0.0
-33.94275,18.39669,2025-09-23T06:00:00Z,0,0,0,156,27.8,22.4,20.6,0.0
-33.96843,18.41787,2025-09-23T06:00:00Z,0,0,0,155,24.7,15.7,20.5,0.0
-33.9508,18.4157,2025-09-23T06:00:00Z,0,0,0,149,21.4,37.6,18.4,0.0
-33.97403,18.4059,2025-09-23T06:00:00Z,0,0,0,107,37.7,33.5,27.6,0.0
-33.97244,18.42398,2025-09-23T06:00:00Z,0,0,0,108,33.8,31.1,23.2,0.39
-33.96431,18.41175,2025-09-23T06:00:00Z,0,0,0,133,28.6,34.1,24.1,0.0
-33.95156,18.42038,2025-09-23T06:00:00Z,0,0,0,170,34.1,39.9,22.6,0.0
-33.97309,18.40797,2025-09-23T06:00:00Z,0,0,0,171,22.7,26.8,16.7,0.0
-33.95746,18.39223,2025-09-23T06:00:00Z,0,0,0,146,33.8,27.9,17.0,0.0
-33.95588,18.42407,2025-09-23T06:00:00Z,0,0,0,136,38.6,16.8,18.9,0.0
-33.95765,18.41449,2025-09-23T06:00:00Z,0,0,0,155,31.9,35.8,23.8,0.0
-33.96061,18.41545,2025-09-23T06:00:00Z,0,0,0,101,37.4,31.5,22.5,0.0
-33.95488,18.39343,2025-09-23T06:00:00Z,0,0,0,159,25.1,31.2,18.6,0.0
-33.94704,18.39559,2025-09-23T06:00:00Z,0,0,0,123,38.5,33.9,19.8,0.0
-33.95121,18.39519,2025-09-23T06:00:00Z,0,0,0,134,37.8,22.0,24.4,0.0
-33.97095,18.43411,2025-09-23T06:00:00Z,0,0,0,91,19.3,27.0,16.9,0.0
-33.95209,18.4343,2025-09-23T06:00:00Z,0,0,0,136,38.9,15.7,20.2,0.0
-33.97113,18.41042,2025-09-23T06:00:00Z,0,0,0,168,23.1,26.6,18.4,0.0
-33.95435,18.40523,2025-09-23T06:00:00Z,0,0,0,157,34.0,15.9,24.5,0.0
-33.94848,18.39678,2025-09-23T06:00:00Z,0,0,0,162,34.7,21.9,23.2,0.0
-33.96451,18.39389,2025-09-23T06:00:00Z,0,0,0,173,24.2,32.2,16.1,0.0
-33.97485,18.43364,2025-09-23T06:00:00Z,0,0,0,103,32.0,32.4,25.3,0.0
-33.94245,18.41991,2025-09-23T06:00:00Z,0,0,0,134,17.2,26.8,21.3,0.0
-33.93962,18.40381,2025-09-23T06:00:00Z,0,0,0,111,24.7,21.3,16.0,0.0
-33.9759,18.42344,2025-09-23T06:00:00Z,0,0,0,91,23.5,37.8,21.4,0.0
-33.94656,18.41044,2025-09-23T06:00:00Z,1,862,11.64,171,17.9,27.1,26.9,0.0
-33.93802,18.39647,2025-09-23T06:00:00Z,1,874,19.08,103,24.7,23.9,21.7,0.0
-33.96317,18.4271,2025-09-23T06:00:00Z,1,711,21.32,141,19.2,27.4,17.6,0.0
-33.94957,18.41726,2025-09-23T06:00:00Z,1,747,14.86,157,24.2,34.9,16.6,0.0
-33.959,18.43306,2025-09-23T06:00:00Z,1,600,10.74,98,39.2,34.0,24.2,0.0
-33.94558,18.42497,2025-09-23T06:00:00Z,1,608,5.43,107,14.3,16.1,22.7,0.0
-33.96077,18.43041,2025-09-23T06:00:00Z,1,730,16.68,113,17.9,33.6,20.9,0.0
-33.96746,18.43075,2025-09-23T06:00:00Z,1,883,21.09,109,16.2,31.8,26.5,0.08
-33.96923,18.41126,2025-09-23T06:00:00Z,1,864,14.56,151,11.6,18.0,16.8,0.0
-33.9542,18.40046,2025-09-23T06:00:00Z,1,839,20.97,123,33.8,34.9,23.2,0.0
-33.95495,18.40371,2025-09-23T06:00:00Z,0,0,0,160,35.3,15.5,16.3,0.0
-33.96247,18.42267,2025-09-23T06:00:00Z,0,0,0,143,25.2,37.9,26.5,0.0
-33.97306,18.43578,2025-09-23T06:00:00Z,0,0,0,162,19.3,36.3,23.2,0.0
-33.97461,18.42965,2025-09-23T06:15:00Z,0,0,0,97,33.0,31.4,19.3,0.13
-33.94953,18.42914,2025-09-23T06:15:00Z,0,0,0,101,25.9,27.3,16.4,0.0
-33.97749,18.40595,2025-09-23T06:15:00Z,0,0,0,118,20.4,24.9,19.9,0.0
-33.94276,18.4313,2025-09-23T06:15:00Z,0,0,0,156,37.4,25.8,16.4,0.0
-33.97749,18.40663,2025-09-23T06:15:00Z,0,0,0,156,11.2,21.0,21.1,0.0
-33.93848,18.40741,2025-09-23T06:15:00Z,0,0,0,103,38.8,16.1,23.0,0.0
-33.96457,18.43725,2025-09-23T06:15:00Z,0,0,0,142,23.4,30.3,22.1,0.0
-33.94116,18.39875,2025-09-23T06:15:00Z,0,0,0,147,23.3,35.7,21.4,0.0
-33.94344,18.43214,2025-09-23T06:15:00Z,0,0,0,115,24.6,17.4,22.7,0.18
-33.96911,18.42464,2025-09-23T06:15:00Z,0,0,0,177,34.6,24.4,22.0,0.08
-33.96691,18.42812,2025-09-23T06:15:00Z,0,0,0,137,17.0,36.0,25.2,0.11
-33.96239,18.41149,2025-09-23T06:15:00Z,0,0,0,138,11.7,30.7,25.9,0.0
-33.96916,18.40995,2025-09-23T06:15:00Z,0,0,0,177,24.4,20.1,16.7,0.0
-33.95545,18.42317,2025-09-23T06:15:00Z,0,0,0,174,15.8,26.4,22.7,0.0
-33.95403,18.40234,2025-09-23T06:15:00Z,0,0,0,144,25.2,33.6,22.4,0.0
-33.94342,18.43762,2025-09-23T06:15:00Z,0,0,0,162,23.6,22.1,19.3,0.0
-33.96279,18.42543,2025-09-23T06:15:00Z,0,0,0,100,39.8,22.3,16.8,0.0
-33.95915,18.39635,2025-09-23T06:15:00Z,0,0,0,114,25.8,31.4,17.4,0.0
-33.96575,18.39987,2025-09-23T06:15:00Z,0,0,0,137,12.0,33.1,17.7,0.0
-33.93734,18.42951,2025-09-23T06:15:00Z,0,0,0,161,10.0,32.2,23.2,0.0
-33.96221,18.40288,2025-09-23T06:15:00Z,0,0,0,131,25.8,34.8,16.5,0.2
-33.94517,18.40251,2025-09-23T06:15:00Z,0,0,0,90,30.7,16.3,20.7,0.45
-33.96847,18.39585,2025-09-23T06:15:00Z,0,0,0,135,24.0,17.9,20.7,0.0
-33.96882,18.42943,2025-09-23T06:15:00Z,0,0,0,175,12.4,24.6,25.1,0.0
-33.93826,18.42205,2025-09-23T06:15:00Z,0,0,0,98,37.4,15.7,22.8,0.0
-33.96882,18.41851,2025-09-23T06:15:00Z,0,0,0,126,31.7,26.5,27.8,0.0
-33.94084,18.42791,2025-09-23T06:15:00Z,0,0,0,128,17.3,37.7,19.7,0.0
-33.94579,18.4142,2025-09-23T06:15:00Z,0,0,0,161,22.0,25.3,18.8,0.0
-33.94161,18.39342,2025-09-23T06:15:00Z,1,706,19.34,99,30.6,25.3,16.1,0.0
-33.97461,18.40182,2025-09-23T06:15:00Z,1,645,5.69,163,10.3,29.3,22.7,0.0
-33.94317,18.43061,2025-09-23T06:15:00Z,1,750,6.65,119,33.7,23.4,24.1,0.0
-33.96297,18.43355,2025-09-23T06:15:00Z,1,870,25.5,144,30.7,19.5,23.3,0.0
-33.96795,18.42487,2025-09-23T06:15:00Z,1,753,21.25,152,32.7,21.2,25.7,0.0
-33.97586,18.43479,2025-09-23T06:15:00Z,1,781,23.55,142,29.4,35.9,25.1,0.0
-33.96485,18.39393,2025-09-23T06:15:00Z,1,751,9.54,144,23.7,33.7,19.2,0.0
-33.9502,18.41767,2025-09-23T06:15:00Z,1,796,27.01,117,17.7,28.8,16.6,0.0
-33.95772,18.41931,2025-09-23T06:15:00Z,1,685,29.99,123,21.3,31.0,25.1,0.0
-33.94821,18.41821,2025-09-23T06:15:00Z,1,628,18.53,146,34.6,21.2,26.5,0.0
-33.94339,18.42768,2025-09-23T06:15:00Z,1,687,23.43,145,34.0,33.5,22.7,0.0
-33.95933,18.42561,2025-09-23T06:15:00Z,1,637,19.71,114,21.1,27.7,17.4,0.0
-33.95821,18.40266,2025-09-23T06:15:00Z,1,887,19.34,159,14.5,34.2,18.8,0.0
-33.94679,18.42399,2025-09-23T06:15:00Z,1,810,24.55,143,18.4,26.9,24.0,0.0
-33.96581,18.40833,2025-09-23T06:15:00Z,1,719,21.33,106,16.1,30.2,27.6,0.0
-33.97621,18.39255,2025-09-23T06:15:00Z,1,627,14.96,174,29.7,16.7,26.3,0.0
-33.95859,18.40356,2025-09-23T06:15:00Z,1,733,28.96,126,18.3,15.4,17.8,0.0
-33.95333,18.41389,2025-09-23T06:15:00Z,1,822,23.84,149,27.9,34.6,27.7,0.39
-33.93837,18.42676,2025-09-23T06:15:00Z,1,853,17.82,113,28.5,39.2,22.5,0.0
-33.94199,18.42455,2025-09-23T06:15:00Z,1,733,7.25,150,16.8,17.8,18.7,0.0
-33.9581,18.40404,2025-09-23T06:15:00Z,1,823,6.85,116,18.8,18.2,25.7,0.0
-33.96453,18.42273,2025-09-23T06:15:00Z,1,776,25.58,117,21.9,37.4,19.1,0.0
-33.9737,18.4127,2025-09-23T06:15:00Z,1,660,17.11,144,26.1,34.4,19.1,0.0
-33.95469,18.4183,2025-09-23T06:15:00Z,1,737,10.27,104,13.7,28.2,21.9,0.0
-33.96894,18.42204,2025-09-23T06:15:00Z,1,866,17.61,173,31.1,18.0,26.7,0.0
-33.94192,18.42031,2025-09-23T06:15:00Z,1,626,11.01,178,38.1,25.6,18.4,0.0
-33.96699,18.41339,2025-09-23T06:15:00Z,1,665,6.23,117,40.0,16.7,26.0,0.0
-33.93892,18.422,2025-09-23T06:15:00Z,0,0,0,99,22.9,16.8,17.6,0.0
-33.97603,18.41197,2025-09-23T06:15:00Z,0,0,0,99,12.7,21.5,23.4,0.0
-33.96222,18.40509,2025-09-23T06:15:00Z,0,0,0,102,13.6,22.5,21.8,0.0
-33.96015,18.40357,2025-09-23T06:15:00Z,0,0,0,161,32.7,39.9,22.8,0.0
-33.97459,18.41864,2025-09-23T06:15:00Z,0,0,0,106,37.3,28.9,16.2,0.0
-33.9544,18.43457,2025-09-23T06:15:00Z,0,0,0,118,36.0,35.5,27.8,0.0
-33.96092,18.41246,2025-09-23T06:15:00Z,0,0,0,137,33.1,30.3,22.8,0.0
-33.97657,18.41086,2025-09-23T06:15:00Z,0,0,0,95,21.5,37.4,18.8,0.0
-33.96188,18.40173,2025-09-23T06:15:00Z,0,0,0,95,11.0,15.6,20.0,0.0
-33.94385,18.4251,2025-09-23T06:15:00Z,0,0,0,154,38.4,39.8,20.9,0.0
-33.97396,18.41768,2025-09-23T06:15:00Z,0,0,0,148,20.1,38.9,25.0,0.0
-33.96356,18.39985,2025-09-23T06:15:00Z,0,0,0,122,34.8,37.0,16.9,0.0
-33.94632,18.42145,2025-09-23T06:15:00Z,0,0,0,146,37.7,30.2,17.7,0.0
-33.9464,18.41086,2025-09-23T06:15:00Z,0,0,0,127,30.8,21.6,19.8,0.0
-33.94633,18.39728,2025-09-23T06:15:00Z,0,0,0,118,32.7,28.9,16.2,0.0
-33.96831,18.42811,2025-09-23T06:15:00Z,0,0,0,137,21.4,32.9,21.3,0.0
-33.94552,18.40549,2025-09-23T06:15:00Z,0,0,0,123,25.8,20.5,17.3,0.09
-33.97526,18.41826,2025-09-23T06:15:00Z,0,0,0,154,13.7,35.3,18.9,0.0
-33.93978,18.41746,2025-09-23T06:15:00Z,0,0,0,177,36.4,27.8,24.2,0.0
-33.94578,18.42566,2025-09-23T06:15:00Z,1,867,16.79,163,24.8,26.7,28.0,0.15
-33.94238,18.42969,2025-09-23T06:15:00Z,1,840,19.77,162,23.1,26.1,21.1,0.0
