Latitude,Longitude,Time,Fire_Present,Fire_Temperature,Rate_of_Spread,Wind_Direction,Wind_Speed,Humidity,Atmospheric_Temperature,Precipitation,Terrain
-33.97461,18.42965,2025-09-23T06:00:00Z,0.0,0.0,0.0,99,37.8,32.4,21.4,0.0,road
-33.94953,18.42914,2025-09-23T06:00:00Z,0.0,0.0,0.0,95,17.4,20.7,18.6,0.0,road
-33.97749,18.40595,2025-09-23T06:00:00Z,0.0,0.0,0.0,168,11.8,26.9,18.8,0.0,road
-33.94276,18.4313,2025-09-23T06:00:00Z,0.0,0.0,0.0,179,20.4,33.9,17.8,0.04,road
-33.97749,18.40663,2025-09-23T06:00:00Z,0.0,0.0,0.0,99,20.8,33.7,20.6,0.0,road
-33.93848,18.40741,2025-09-23T06:00:00Z,0.0,0.0,0.0,178,18.9,21.3,19.2,0.0,road
-33.96457,18.43725,2025-09-23T06:00:00Z,0.0,0.0,0.0,97,26.5,17.4,24.9,0.0,road
-33.94116,18.39875,2025-09-23T06:00:00Z,0.0,0.0,0.0,133,13.3,18.0,23.3,0.0,road
-33.94344,18.43214,2025-09-23T06:00:00Z,0.0,0.0,0.0,167,15.2,30.9,22.3,0.0,road
-33.96911,18.42464,2025-09-23T06:00:00Z,0.0,0.0,0.0,114,39.9,31.4,24.5,0.0,road
-33.96691,18.42812,2025-09-23T06:00:00Z,0.0,0.0,0.0,177,31.7,33.6,20.1,0.0,road
-33.96239,18.41149,2025-09-23T06:00:00Z,0.0,0.0,0.0,179,30.5,27.9,24.0,0.0,road
-33.96916,18.40995,2025-09-23T06:00:00Z,0.0,0.0,0.0,94,39.5,29.2,20.7,0.0,road
-33.95545,18.42317,2025-09-23T06:00:00Z,0.0,0.0,0.0,96,17.2,17.7,22.3,0.0,road
-33.95403,18.40234,2025-09-23T06:00:00Z,0.0,0.0,0.0,92,38.6,33.1,24.0,0.0,road
-33.94342,18.43762,2025-09-23T06:00:00Z,0.0,0.0,0.0,178,37.0,31.7,21.1,0.25,road
-33.96279,18.42543,2025-09-23T06:00:00Z,0.0,0.0,0.0,102,16.3,37.9,19.0,0.0,road
-33.95915,18.39635,2025-09-23T06:00:00Z,0.0,0.0,0.0,155,35.2,30.0,20.3,0.31,road
-33.96575,18.39987,2025-09-23T06:00:00Z,0.0,0.0,0.0,137,33.9,35.8,26.2,0.0,road
-33.93734,18.42951,2025-09-23T06:00:00Z,0.0,0.0,0.0,98,30.5,30.7,19.9,0.0,road
-33.96221,18.40288,2025-09-23T06:00:00Z,0.0,0.0,0.0,112,38.7,34.6,19.4,0.1,road
-33.94517,18.40251,2025-09-23T06:00:00Z,0.0,0.0,0.0,114,30.6,15.5,24.9,0.0,road
-33.96847,18.39585,2025-09-23T06:00:00Z,0.0,0.0,0.0,115,20.8,19.2,17.1,0.0,road
-33.96882,18.42943,2025-09-23T06:00:00Z,0.0,0.0,0.0,121,24.1,16.8,17.5,0.0,road
-33.93826,18.42205,2025-09-23T06:00:00Z,0.0,0.0,0.0,150,14.3,19.2,20.4,0.0,road
-33.96882,18.41851,2025-09-23T06:00:00Z,0.0,0.0,0.0,162,23.1,34.0,25.9,0.0,road
-33.94084,18.42791,2025-09-23T06:00:00Z,0.0,0.0,0.0,171,37.5,37.9,16.8,0.0,road
-33.94579,18.4142,2025-09-23T06:00:00Z,0.0,0.0,0.0,137,30.1,32.3,18.4,0.0,road
-33.94161,18.39342,2025-09-23T06:00:00Z,0.0,0.0,0.0,129,33.2,36.6,27.0,0.0,road
-33.97461,18.40182,2025-09-23T06:00:00Z,1.0,747.0,28.41,131,28.9,26.4,24.9,0.0,road
-33.94317,18.43061,2025-09-23T06:00:00Z,1.0,641.0,20.81,109,37.7,18.3,24.7,0.0,road
-33.96297,18.43355,2025-09-23T06:00:00Z,1.0,671.0,18.81,107,39.9,36.9,20.6,0.0,road
-33.96795,18.42487,2025-09-23T06:00:00Z,1.0,725.0,22.88,110,25.2,22.9,17.7,0.0,road
-33.97586,18.43479,2025-09-23T06:00:00Z,1.0,865.0,8.11,107,22.1,34.3,18.5,0.0,road
-33.96485,18.39393,2025-09-23T06:00:00Z,1.0,812.0,12.13,163,18.9,16.4,26.3,0.0,road
-33.9502,18.41767,2025-09-23T06:00:00Z,1.0,793.0,7.93,178,13.8,21.2,24.8,0.0,road
-33.95772,18.41931,2025-09-23T06:00:00Z,1.0,894.0,24.83,125,13.0,19.3,22.4,0.0,road
-33.94821,18.41821,2025-09-23T06:00:00Z,1.0,689.0,22.12,177,26.0,39.1,27.1,0.0,road
-33.94339,18.42768,2025-09-23T06:00:00Z,1.0,818.0,26.09,161,36.5,33.3,27.9,0.0,road
-33.95933,18.42561,2025-09-23T06:00:00Z,1.0,787.0,9.34,132,21.3,22.1,27.1,0.0,road
-33.95821,18.40266,2025-09-23T06:00:00Z,1.0,862.0,13.95,144,18.5,26.9,25.5,0.0,road
-33.94679,18.42399,2025-09-23T06:00:00Z,1.0,656.0,27.25,160,17.8,26.2,22.5,0.0,road
-33.96581,18.40833,2025-09-23T06:00:00Z,1.0,730.0,16.88,133,36.8,39.1,17.3,0.0,road
-33.97621,18.39255,2025-09-23T06:00:00Z,1.0,712.0,18.41,125,27.4,21.2,24.7,0.0,road
-33.95859,18.40356,2025-09-23T06:00:00Z,1.0,709.0,20.57,106,13.2,18.8,21.4,0.0,road
-33.95333,18.41389,2025-09-23T06:00:00Z,0.0,0.0,0.0,135,10.3,24.6,22.6,0.0,road
-33.93837,18.42676,2025-09-23T06:00:00Z,0.0,0.0,0.0,149,13.0,36.8,25.2,0.0,road
-33.94199,18.42455,2025-09-23T06:00:00Z,0.0,0.0,0.0,94,16.1,20.8,23.3,0.0,road
-33.9581,18.40404,2025-09-23T06:00:00Z,0.0,0.0,0.0,124,26.1,32.0,20.6,0.0,road
-33.96453,18.42273,2025-09-23T06:00:00Z,0.0,0.0,0.0,170,36.0,18.0,22.9,0.0,road
-33.9737,18.4127,2025-09-23T06:00:00Z,0.0,0.0,0.0,143,16.8,19.7,19.3,0.0,road
-33.95469,18.4183,2025-09-23T06:00:00Z,0.0,0.0,0.0,177,16.7,25.2,21.5,0.0,road
-33.96894,18.42204,2025-09-23T06:00:00Z,0.0,0.0,0.0,104,31.1,29.6,17.0,0.0,road
-33.94192,18.42031,2025-09-23T06:00:00Z,0.0,0.0,0.0,99,19.6,16.5,19.5,0.0,road
-33.96699,18.41339,2025-09-23T06:00:00Z,0.0,0.0,0.0,155,35.3,15.9,18.1,0.0,road
-33.93892,18.422,2025-09-23T06:00:00Z,0.0,0.0,0.0,116,12.7,26.8,26.5,0.0,road
-33.97603,18.41197,2025-09-23T06:00:00Z,0.0,0.0,0.0,171,19.5,35.2,24.0,0.0,road
-33.96222,18.40509,2025-09-23T06:00:00Z,0.0,0.0,0.0,152,40.0,24.5,20.4,0.0,road
-33.96015,18.40357,2025-09-23T06:00:00Z,0.0,0.0,0.0,171,27.6,35.0,17.4,0.0,road
-33.97459,18.41864,2025-09-23T06:00:00Z,0.0,0.0,0.0,133,21.5,32.5,27.3,0.0,road
-33.9544,18.43457,2025-09-23T06:00:00Z,0.0,0.0,0.0,114,38.5,32.5,23.3,0.0,road
-33.96092,18.41246,2025-09-23T06:00:00Z,0.0,0.0,0.0,119,25.3,16.1,23.4,0.0,road
-33.97657,18.41086,2025-09-23T06:00:00Z,0.0,0.0,0.0,120,35.1,15.3,20.6,0.0,road
-33.96188,18.40173,2025-09-23T06:00:00Z,0.0,0.0,0.0,125,13.9,19.8,21.9,0.0,road
-33.94385,18.4251,2025-09-23T06:00:00Z,0.0,0.0,0.0,141,21.9,21.2,26.1,0.0,road
-33.97396,18.41768,2025-09-23T06:00:00Z,0.0,0.0,0.0,132,14.9,24.1,23.2,0.0,road
-33.96356,18.39985,2025-09-23T06:00:00Z,0.0,0.0,0.0,151,21.9,30.8,22.6,0.3,road
-33.94632,18.42145,2025-09-23T06:00:00Z,0.0,0.0,0.0,162,19.7,33.8,22.0,0.0,road
-33.9464,18.41086,2025-09-23T06:00:00Z,0.0,0.0,0.0,179,19.0,31.2,23.9,0.0,road
-33.94633,18.39728,2025-09-23T06:00:00Z,0.0,0.0,0.0,159,11.7,32.5,24.3,0.0,road
-33.96831,18.42811,2025-09-23T06:00:00Z,0.0,0.0,0.0,99,35.3,35.9,16.4,0.0,road
-33.94552,18.40549,2025-09-23T06:00:00Z,0.0,0.0,0.0,149,26.4,38.2,23.7,0.0,road
-33.97526,18.41826,2025-09-23T06:00:00Z,0.0,0.0,0.0,144,18.9,33.1,21.1,0.27,road
-33.93978,18.41746,2025-09-23T06:00:00Z,0.0,0.0,0.0,176,14.0,27.0,20.7,0.47,road
-33.94578,18.42566,2025-09-23T06:00:00Z,0.0,0.0,0.0,116,13.9,17.6,17.5,0.0,road
-33.94238,18.42969,2025-09-23T06:00:00Z,1.0,821.0,28.5,168,28.0,36.6,24.1,0.0,road
-33.9461,18.39881,2025-09-23T06:00:00Z,1.0,684.0,11.99,141,15.9,35.3,17.5,0.0,road
-33.9407,18.3994,2025-09-23T06:00:00Z,1.0,726.0,7.33,105,12.7,23.1,27.1,0.0,road
-33.93807,18.42399,2025-09-23T06:00:00Z,1.0,736.0,24.03,90,34.8,23.2,21.7,0.0,road
-33.96921,18.4124,2025-09-23T06:00:00Z,1.0,884.0,5.98,179,35.3,20.4,24.5,0.0,road
-33.95581,18.40344,2025-09-23T06:00:00Z,0.0,0.0,0.0,172,24.6,32.6,16.1,0.0,road
